,sentence,similarity_with_sub,username
0,oh it just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i do n need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they tryna see a stellar max flow right beside of me a ferrari i buyin three a closet of saint laurent get what i want when i want cause hunger is driving me yeah i just need to be alone i just need to be at home understand what i speaking on if time is money i need a loan but regardless i always keep keepin on fuck fake friends we do n take l we just make m while y follow we just make trends i right back to work when that break ends oh it just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i do n need a hand to hold even when the night is cold i got that fire in my soul i do n need anything to get me through the night just the beat that in my heart yeah it keeping me alive keeps me alive i do n need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i do n like talking to strangers so get the fuck off me i anxious i tryna be cool but i might just go ape shit say fuck y to all of y faces it changes though now that i famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i swimming in money swimming in liquor my liver is muddy but it all good i still sippin this bubbly this shit is lovely this shit ai n random i did n get lucky made it right here cause i sick with it cudi they all take the money for granted but do n want to work for now tell me is n it funny oh it just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i do n need a hand to hold even when the night is cold i got that fire in my soul i do n need anything to get me through the night just the beat that in my heart yeah it keeping me alive keeps me alive i do n need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba da ba ba ba ba da ba ba ba ba ba da ba ba ba ba da ba ba ba ba ba da ba ba ba ba da ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart become too cold to break know i great but i broke as hell having dreams that i folding cake all my life i been told to wait but i get it now it no debate oh it just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i do n need a hand to hold even when the night is cold i got that fire in my soul i do n need anything to get me through the night just the beat that in my heart yeah it keeping me alive keeps me alive i do n need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba da ba ba ba ba da ba ba ba ba ba da ba ba ba ba da ba ba ba ba ba da ba ba ba ba da ba cause the music fills me good and it gets me every time,1.0,lyrics
2104,oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stellar max flow right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i might just go ape shit say fuck y all to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for now tell me isn t it funny oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now it s no debate oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.860540850929857,????? ???????
1977,oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stellar max flow right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i might just go ape shit say fuck y all to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for now tell me isn t it funny oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now it s no debate oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.860540850929857,Ivan Frausto
1246,lyricsoh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stellar max flow right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i might just go ape shit say fuck y all to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for now tell me isn t it funny oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now it s no debate oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night just the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8604268498678301,Kamil Hegazi
973,it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me give the world what they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart and it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cuddy they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah that s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams of unfolding cake all my life i ve been told to wait but i ma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart and it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8591206951386713,Dita Petr?
2712,oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8588770436985044,Bia Alcantara
2297,oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8588770436985044,Fabi Lopes
1254,oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8588770436985044,Orlando orozco
1884,oh it s just me myself and i solo ride until i die cause i got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me give the world what they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart and it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cuddy they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah that s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray to lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i ma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart and it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba cause the music fills me good and it gets me every time,0.8581690218013528,Boba Fett
500,oh it s just me myself and i solo ride until i die cause i got me for life oh i don t need a hand to hold even when the night is cold i got that fire in my soul and as far as i can see i just need privacy plus a whole lot of tree fuck all this modesty i just need space to do me get a world that they re tryna see a stella maxwell right beside of me a ferrari i m buyin three a closet of saint laurent get what i want when i want cause this hunger is driving me yeah i just need to be alone i just need to be at home understand what i m speaking on if time is money i need a loan but regardless i ll always keep keepin on fuck fake friends we don t take l s we just make m s while y all follow we just make trends i m right back to work when that break ends oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time yeah and i don t like talking to strangers so get the fuck off me i m anxious i m tryna be cool but i may just go ape shit say quot fuck y all quot to all of y all faces it changes though now that i m famous everyone knows how this lifestyle is dangerous but i love it the rush is amazing celebrate nightly and everyone rages i found how to cope with my anger i m swimming in money swimming in liquor my liver is muddy but it s all good i m still sippin this bubbly this shit is lovely this shit ain t random i didn t get lucky made it right here cause i m sick with it cudi they all take the money for granted but don t want to work for it tell me now isn t it funny nah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba yee ba ba ba ba cause the music fills me good and it gets me every time yeah lonely nights i laid awake pray the lord my soul to take my heart s become too cold to break know i m great but i m broke as hell having dreams that i m folding cake all my life i ve been told to wait but i mma get it now yeah it s no debate yeah oh it s just me myself and i solo ride until i die cause i got me for life got me for life yeah oh i don t need a hand to hold even when the night is cold i got that fire in my soul i don t need anything to get me through the night except the beat that s in my heart yeah it s keeping me alive keeps me alive i don t need anything to make me satisfied you know cause the music fills me good and it gets me every time like ba ba ba ba ba ba,0.8575178572149625,diesel cadiz
